Жаргонізм,Значення,Категорія,Статус
Альма-матер,університет,Загальні поняття могилянства,актуальний
Альма матер,університет,Загальні поняття могилянства,актуальний
Антимогилянці,"(від. антигероїв із коміксів) могилянці, які критикують КМА й пускають гострі “аморальні” рофляники, але насправді роблять неабиякий внесок в університет і ночами переглядають плівкові світлини Могиляночки.",Загальні поняття могилянства,актуальний
БП,"бакалаврська програма. Не сплутайте з Білим простором, що має таку ж абревіатуру.",Загальні поняття могилянства,актуальний
ВРС,"Відділ по роботі зі студентами (ВРС), Деканат по роботі зі студентами",Загальні поняття могилянства,актуальний
ДРС,"Відділ по роботі зі студентами (ВРС), Деканат по роботі зі студентами",Загальні поняття могилянства,актуальний
Джуніор,третьокурсник.,Загальні поняття могилянства,актуальний
"Еліта нації, еліта України","пафосний статус, яким раніше серйозно приписували собі могилянці і який нині вживають як рофляник.",Загальні поняття могилянства,актуальний
Кіберспудей,"спудей(ка), чиє бажання навчатися та могилянити переборює перешкоди коронавірусу завдяки засобам дистанційного навчання та спілкування.",Загальні поняття могилянства,актуальний
Кіберспудейка,"спудей(ка), чиє бажання навчатися та могилянити переборює перешкоди коронавірусу завдяки засобам дистанційного навчання та спілкування.",Загальні поняття могилянства,актуальний
КМА,Києво-Могилянська академія.,Загальні поняття могилянства,актуальний
Магістерка,див. МП.,Загальні поняття могилянства,актуальний
Могила,НаУКМА.,Загальні поняття могилянства,актуальний
Могилянка,НаУКМА.,Загальні поняття могилянства,актуальний
Могилянець,людина зі спільноти НаУКМА.,Загальні поняття могилянства,актуальний
Могилооптимізм,"філософська течія, що визначає Могилянку як таку, що збергієа та вдосконалює свій дух, традиції, статуси, місце в українській освіті та примагнічує найфайніших абітурієнтів. Гасло – #ЩеТа.",Загальні поняття могилянства,актуальний
Могилоскептицизм,"філософська течія, що визначає Могилянку як таку, що втрачає та не здатна відновити свій минулий дух, традиції, статуси, місце в українській освіті та примагнічує “не тих абітурієнтів”. Гасло – #ВжеНеТа.",Загальні поняття могилянства,актуальний
Могилянський снобізм,,Загальні поняття могилянства,актуальний
Могилянські цінності,,Загальні поняття могилянства,актуальний
МП,магістерська програма.,Загальні поняття могилянства,актуальний
НаУКМА,Національний університет “Києво-Могилянська академія”.,Загальні поняття могилянства,актуальний
КПІ,"Київський Політехнічний Інститут імені Ігоря Сікорського, університет найкоханіших конкурентів могилянських айтішників.",Загальні поняття могилянства,актуальний
Рефреш,"людина, яка перевступила в Могилянку після того, як уже провчилася певний час у КМА чи іншому університеті. Може означати перевступ на інший факультет/спеціальність.",Загальні поняття могилянства,актуальний
Сеньйор,четвертий курс,Загальні поняття могилянства,актуальний
Софомор,"другокурсник 2. від грец. «соф», розумний, «мор» – дурний: ще не розумний, але вже не дурний.",Загальні поняття могилянства,актуальний
Спудей,"давня назва студента/студентки НаУКМА, яка стала могилянським брендовим найменуванням.",Загальні поняття могилянства,актуальний
спудейка,"давня назва студента/студентки НаУКМА, яка стала могилянським брендовим найменуванням.",Загальні поняття могилянства,актуальний
Храм знань,НаУКМА.,Загальні поняття могилянства,актуальний
ДЕН,"Департамент економічних наук, який до початку 2000-х трансформувався у ФЕН.",Спудейські колиски. Факультети,застарілий
ДКТ,"Департамент комп’ютерених технологій, який до початку 2000-х трансформувався у ФІ.",Спудейські колиски. Факультети,застарілий
ДСНТ,"Департамент соціальних наук і технологій, на базі якого разом із частиною ФГСН був створений ФСНСТ.",Спудейські колиски. Факультети,застарілий
ФЕН,Факультет економічних наук.,Спудейські колиски. Факультети,актуальний
ФГН,"Факультет гуманітарних наук, а також факультет гарних наречених.",Спудейські колиски. Факультети,актуальний
ФГСН,"Факультет гуманітарних і суспільних наук. Суміш ФГН і ФСН, існував певний час із 90-х до початку 2000-х.",Спудейські колиски. Факультети,застарілий
ФІ,Факультет інформатики.,Спудейські колиски. Факультети,актуальний
ФІН,"Факультет інформаційних наук, колишня абревіатура ФІ, що інколи досі вживається.",Спудейські колиски. Факультети,актуальний
ФІн,"Факультет інформаційних наук, колишня абревіатура ФІ, що інколи досі вживається.",Спудейські колиски. Факультети,актуальний
ФПвН,Факультет правничих наук.,Спудейські колиски. Факультети,актуальний
ФПН,"стара абревіатура Факультету природничих наук (90-і рр.). Існувала, доки не з’явився ФПвН, із яким довелося “ділити абревіатуру” через подібність літер.",Спудейські колиски. Факультети,застарілий
ФПрН,Факультет природничих наук.,Спудейські колиски. Факультети,актуальний
ФСН,"Факультет суспільних наук. Перша форма ФСНСТ, у 90-х був об’єднаний з ФГН  у ФГСН.",Спудейські колиски. Факультети,застарілий
ФСНТ,"Факультет соціальних наук і технологій, назва/абревіатура ФСНСТ у 2001-2002.",Спудейські колиски. Факультети,актуальний
ФІСНСТ,"вигаданий факультет-альянс ФІ та ФСНСТ, а також лейбл для команд, де разом працюють фішники та спудейство ФСНСТ.",Спудейські колиски. Факультети,актуальний
ФСНСТ,"Факультет соціальних наук і соціальних технологій (назва й абревіатура з 2002 р.), а також:",Спудейські колиски. Факультети,актуальний
КМБШ,див. KMBS.,Спудейські колиски. Катедри,актуальний
МШЖ,"Могилянська школа журналістики, Mohyla School of Journalism.",Спудейські колиски. Катедри,актуальний
MSJ,"Могилянська школа журналістики, Mohyla School of Journalism.",Спудейські колиски. Катедри,актуальний
ШОЗ,Школа охорони здоров’я (ФСНСТ).,Спудейські колиски. Катедри,актуальний
ШСР,Школа соціальної роботи ім. Полтавця (ФСНСТ).,Спудейські колиски. Катедри,актуальний
KMBS,"Kyiv-Mohyla Business School, Києво-Могилянська бізнес-школа.",Спудейські колиски. Катедри,актуальний
КМБШ,"Kyiv-Mohyla Business School, Києво-Могилянська бізнес-школа.",Спудейські колиски. Катедри,актуальний
MSJ,див. МШЖ.,Спудейські колиски. Катедри,актуальний
Айтішники," (від англ. ІТ,інтелектуальні технології) – спудеї ФІ",Спудейські колиски. Спеціальності,актуальний
Болтологи,політологи.,Спудейські колиски. Спеціальності,застарілий
Гуманітарка,гуманітарії.,Спудейські колиски. Спеціальності,актуальний
Манагери,спудейство менеджменту.,Спудейські колиски. Спеціальності,актуальний
Манагерки,спудейство менеджменту.,Спудейські колиски. Спеціальності,актуальний
